nodeId,labels,name,preferredTerm,fsn,conceptType,synonyms,category,difficulty,cuisineType,prepTime,cookTime,servings,tags,filePath,amount,unit,isMain,description,stepNumber,methods,tools,timeEstimate
100000000,Root,烹饪概念,烹饪概念,烹饪概念 (Culinary Concept),Root,,,,,,,,,,,,,,,,,
200000000,Recipe,菜谱,菜谱,菜谱 (Recipe),Recipe,,,,,,,,,,,,,,,,,
300000000,Ingredient,食材,食材,食材 (Ingredient),Ingredient,,,,,,,,,,,,,,,,,
400000000,CookingMethod,烹饪方法,烹饪方法,烹饪方法 (Cooking Method),CookingMethod,,,,,,,,,,,,,,,,,
500000000,CookingTool,烹饪工具,烹饪工具,烹饪工具 (Cooking Tool),CookingTool,,,,,,,,,,,,,,,,,
610000000,DifficultyLevel,一星,一星,一星 (One Star),DifficultyLevel,,,,,,,,,,,,,,,,,
620000000,DifficultyLevel,二星,二星,二星 (Two Star),DifficultyLevel,,,,,,,,,,,,,,,,,
630000000,DifficultyLevel,三星,三星,三星 (Three Star),DifficultyLevel,,,,,,,,,,,,,,,,,
640000000,DifficultyLevel,四星,四星,四星 (Four Star),DifficultyLevel,,,,,,,,,,,,,,,,,
650000000,DifficultyLevel,五星,五星,五星 (Five Star),DifficultyLevel,,,,,,,,,,,,,,,,,
710000000,RecipeCategory,素菜,素菜,素菜 (Vegetarian Dish),RecipeCategory,,,,,,,,,,,,,,,,,
720000000,RecipeCategory,荤菜,荤菜,荤菜 (Meat Dish),RecipeCategory,,,,,,,,,,,,,,,,,
730000000,RecipeCategory,水产,水产,水产 (Aquatic Product),RecipeCategory,,,,,,,,,,,,,,,,,
740000000,RecipeCategory,早餐,早餐,早餐 (Breakfast),RecipeCategory,,,,,,,,,,,,,,,,,
750000000,RecipeCategory,主食,主食,主食 (Staple Food),RecipeCategory,,,,,,,,,,,,,,,,,
760000000,RecipeCategory,汤类,汤类,汤类 (Soup),RecipeCategory,,,,,,,,,,,,,,,,,
770000000,RecipeCategory,甜品,甜品,甜品 (Dessert),RecipeCategory,,,,,,,,,,,,,,,,,
780000000,RecipeCategory,饮料,饮料,饮料 (Beverage),RecipeCategory,,,,,,,,,,,,,,,,,
790000000,RecipeCategory,调料,调料,调料 (Condiment),RecipeCategory,,,,,,,,,,,,,,,,,
201000001,Recipe,咖喱炒蟹,咖喱炒蟹,,Recipe,,水产,4.0,泰国菜,10分钟,8分钟,1人/份,"泰国风味,咖喱蟹黄,海鲜,快手菜",dishes\aquatic\咖喱炒蟹.md,,,,,,,,
201000002,Ingredient,青蟹,青蟹,,Ingredient,,蛋白质,,,,,,,,300,g,True,,,,,
201000003,Ingredient,咖喱块,咖喱块,,Ingredient,,调料,,,,,,,,15,g,False,,,,,
201000004,Ingredient,洋葱,洋葱,,Ingredient,,蔬菜,,,,,,,,200,g,False,,,,,
201000005,Ingredient,椰浆,椰浆,,Ingredient,,调料,,,,,,,,100,ml,False,,,,,
201000006,Ingredient,鸡蛋,鸡蛋,,Ingredient,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,1,个,False,,,,,
201000007,Ingredient,生粉,生粉,,Ingredient,,淀粉类,,,,,,,,5,g,False,,,,,
201000008,Ingredient,大蒜,大蒜,,Ingredient,,蔬菜,,,,,,,,5,瓣,False,,,,,
201000009,Ingredient,食用油,食用油,,Ingredient,,调料,,,,,,,,30,ml,False,,,,,
201000010,Ingredient,开水,开水,,Ingredient,,其他,,,,,,,,300,ml,False,,,,,
201000011,CookingStep,步骤1,步骤1,,CookingStep,,,,,,,,,,,,,肉蟹掀盖后对半砍开，蟹钳用刀背轻轻拍裂，切口和蟹钳蘸一下生粉，不要太多。撒5g生粉到蟹盖中，盖住蟹黄，备用。,1.0,"切,拍,蘸,撒","刀,案板",2分钟
201000012,CookingStep,步骤2,步骤2,,CookingStep,,,,,,,,,,,,,洋葱切成洋葱碎，备用。,2.0,切,"刀,案板",1分钟
201000013,CookingStep,步骤3,步骤3,,CookingStep,,,,,,,,,,,,,大蒜切碎，备用。,3.0,切,"刀,案板",30秒
201000014,CookingStep,步骤4,步骤4,,CookingStep,,,,,,,,,,,,,烧一壶开水，备用。,4.0,烧,水壶,2分钟
201000015,CookingStep,步骤5,步骤5,,CookingStep,,,,,,,,,,,,,起锅烧油，倒入约20ml食用油，等待10秒让油温升高。,5.0,"烧,倒",炒锅,10秒
201000016,CookingStep,步骤6,步骤6,,CookingStep,,,,,,,,,,,,,将螃蟹切口朝下，轻轻放入锅中，煎20秒，这一步主要是封住蟹黄、蟹肉。然后翻面，每面煎10秒。煎完将螃蟹取出备用。,6.0,煎,"炒锅,锅铲",40秒
201000017,CookingStep,步骤7,步骤7,,CookingStep,,,,,,,,,,,,,将螃蟹盖放入锅中，使用勺子舀起锅中热油泼到蟹盖中，煎封住蟹盖中的蟹黄，煎20秒后取出备用。,7.0,"煎,泼","炒锅,勺子",20秒
201000018,CookingStep,步骤8,步骤8,,CookingStep,,,,,,,,,,,,,不用刷锅，再倒入10ml食用油，大火让油温升高至轻微冒烟，将大蒜末、洋葱碎倒入，炒10秒钟。,8.0,"倒,炒","炒锅,锅铲",10秒
201000019,CookingStep,步骤9,步骤9,,CookingStep,,,,,,,,,,,,,将咖喱块放入锅中炒化（10秒），放入煎好的螃蟹，翻炒均匀。,9.0,"炒,翻炒","炒锅,锅铲",10秒
201000020,CookingStep,步骤10,步骤10,,CookingStep,,,,,,,,,,,,,倒入开水300ml，焖煮3分钟。,10.0,"倒,焖煮",炒锅,3分钟
201000021,CookingStep,步骤11,步骤11,,CookingStep,,,,,,,,,,,,,焖煮完后，倒入椰浆和蛋清，关火，关火后不断翻炒，一直到酱汁变浓稠。,11.0,"倒,翻炒","炒锅,锅铲",1分钟
201000022,CookingStep,步骤12,步骤12,,CookingStep,,,,,,,,,,,,,出锅。,12.0,出锅,锅铲,5秒
201000023,Recipe,微波葱姜黑鳕鱼,微波葱姜黑鳕鱼,,Recipe,,水产,3.0,,约5分钟,3.5-5分钟,2人份,"微波,葱姜,热油泼香,可替换鱼种,海鲈鱼6.5分钟,罗非鱼6分钟,大比目鱼2.25分钟,龙脷鱼1.5分钟,微波前可抹葱姜料酒增香",dishes\aquatic\微波葱姜黑鳕鱼.md,,,,,,,,
201000024,Ingredient,黑鳕鱼,黑鳕鱼,,Ingredient,,蛋白质,,,,,,,,450,g,True,,,,,
201000025,Ingredient,青葱（葱白）,青葱（葱白）,,Ingredient,,蔬菜,,,,,,,,25,g,False,,,,,
201000026,Ingredient,青葱（葱绿）,青葱（葱绿）,,Ingredient,,蔬菜,,,,,,,,10,g,False,,,,,
201000027,Ingredient,姜,姜,,Ingredient,,蔬菜,,,,,,,,13,g,False,,,,,
201000028,Ingredient,料酒,料酒,,Ingredient,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,mL,False,,,,,
