startNodeId,endNodeId,relationshipType,relationshipId,amount,unit,step_order
201000001,201000002,801000001,R_000001,300,g,
201000001,201000003,801000001,R_000002,15,g,
201000001,201000004,801000001,R_000003,200,g,
201000001,201000005,801000001,R_000004,100,ml,
201000001,201000006,801000001,R_000005,1,个,
201000001,201000007,801000001,R_000006,5,g,
201000001,201000008,801000001,R_000007,5,瓣,
201000001,201000009,801000001,R_000008,30,ml,
201000001,201000010,801000001,R_000009,300,ml,
201000001,201000011,801000003,R_000010,,,1.0
201000001,201000012,801000003,R_000011,,,2.0
201000001,201000013,801000003,R_000012,,,3.0
201000001,201000014,801000003,R_000013,,,4.0
201000001,201000015,801000003,R_000014,,,5.0
201000001,201000016,801000003,R_000015,,,6.0
201000001,201000017,801000003,R_000016,,,7.0
201000001,201000018,801000003,R_000017,,,8.0
201000001,201000019,801000003,R_000018,,,9.0
201000001,201000020,801000003,R_000019,,,10.0
201000001,201000021,801000003,R_000020,,,11.0
201000001,201000022,801000003,R_000021,,,12.0
201000001,730000000,801000004,R_000022,,,
201000001,640000000,801000005,R_000023,,,
201000023,201000024,801000001,R_000024,450,g,
201000023,201000025,801000001,R_000025,25,g,
201000023,201000026,801000001,R_000026,10,g,
201000023,201000027,801000001,R_000027,13,g,
201000023,201000028,801000001,R_000028,5,mL,
201000023,201000029,801000001,R_000029,25,mL,
201000023,201000030,801000001,R_000030,2,mL,
201000023,201000031,801000001,R_000031,50,mL,
201000023,201000032,801000003,R_000032,,,1.0
201000023,201000033,801000003,R_000033,,,2.0
201000023,201000034,801000003,R_000034,,,3.0
201000023,201000035,801000003,R_000035,,,4.0
201000023,201000036,801000003,R_000036,,,5.0
201000023,201000037,801000003,R_000037,,,6.0
201000023,201000038,801000003,R_000038,,,7.0
201000023,201000039,801000003,R_000039,,,8.0
201000023,730000000,801000004,R_000040,,,
201000023,630000000,801000005,R_000041,,,
201000040,201000041,801000001,R_000042,500,g,
201000040,201000042,801000001,R_000043,300-500,g,
201000040,201000043,801000001,R_000044,40,g,
201000040,201000044,801000001,R_000045,10,g,
201000040,201000045,801000001,R_000046,10,ml,
201000040,201000046,801000001,R_000047,25,ml,
201000040,201000047,801000001,R_000048,3,g,
201000040,201000048,801000001,R_000049,2,瓣,
201000040,201000049,801000001,R_000050,5,g,
201000040,201000050,801000001,R_000051,2,g,
201000040,201000051,801000003,R_000052,,,1.0
201000040,201000052,801000003,R_000053,,,2.0
201000040,201000053,801000003,R_000054,,,3.0
201000040,201000054,801000003,R_000055,,,4.0
201000040,201000055,801000003,R_000056,,,5.0
201000040,201000056,801000003,R_000057,,,6.0
201000040,201000057,801000003,R_000058,,,7.0
201000040,201000058,801000003,R_000059,,,8.0
201000040,730000000,801000004,R_000060,,,
201000040,640000000,801000005,R_000061,,,
201000059,201000060,801000001,R_000062,6,个,
201000059,201000061,801000001,R_000063,1,升,
201000059,201000062,801000001,R_000064,3,颗,
201000059,201000063,801000001,R_000065,6,瓣,
201000059,201000064,801000001,R_000066,1,小块,
201000059,201000065,801000001,R_000067,6,毫升,
201000059,201000066,801000001,R_000068,1,把,
201000059,201000067,801000003,R_000069,,,1.0
201000059,201000068,801000003,R_000070,,,2.0
201000059,201000069,801000003,R_000071,,,3.0
201000059,201000070,801000003,R_000072,,,4.0
201000059,201000071,801000003,R_000073,,,5.0
201000059,201000072,801000003,R_000074,,,6.0
201000059,730000000,801000004,R_000075,,,
201000059,630000000,801000005,R_000076,,,
201000073,201000074,801000001,R_000077,1,条,
201000073,201000075,801000001,R_000078,2,片,
201000073,201000076,801000001,R_000079,3.5,个,
201000073,201000077,801000001,R_000080,2.5,个,
201000073,201000078,801000001,R_000081,40,毫升,
201000073,201000079,801000001,R_000082,10,克,
201000073,201000080,801000001,R_000083,适量,,
201000073,201000081,801000001,R_000084,5,毫升,
201000073,201000082,801000001,R_000085,5,毫升,
201000073,201000083,801000001,R_000086,10,克,
201000073,201000084,801000001,R_000087,5,克,
201000073,201000085,801000001,R_000088,1.5,根,
